caller_label,caller,instruction,target_address,callee
WriteToPartition,_Z16WriteToPartitionPKhmRKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,4142ec,0x4d4440,__stack_chk_fail
ota_open,_Z8ota_openPKcij,426354,0x4cc170,open
ota_open,_Z8ota_openPKcij,426364,0x4afe88,_ZNSt3__15mutex4lockEv
ota_open,_Z8ota_openPKcij,4263ec,0x491710,UNKNOWN_0x491710
ota_open,_Z8ota_openPKcij,426428,0x4180e0,UNKNOWN_0x4180e0
ota_open,_Z8ota_openPKcij,426444,0x425ca8,_Z19should_fault_injectPKc
ota_open,_Z8ota_openPKcij,42644c,0x425ed8,_Z16should_hit_cachev
ota_open,_Z8ota_openPKcij,42647c,0x4c8290,strlen
ota_open,_Z8ota_openPKcij,42648c,0x4c841c,strncmp
ota_open,_Z8ota_openPKcij,42649c,0x4c8da0,__errno
ota_open,_Z8ota_openPKcij,4264d4,0x4b05e0,UNKNOWN_0x4b05e0
ota_open,_Z8ota_openPKcij,4264d8,0x4c8da0,__errno
ota_open,_Z8ota_openPKcij,426508,0x4afeb0,_ZNSt3__115recursive_mutex6unlockEv
ota_write,_Z9ota_writeiPKvm,426d80,0x425ca8,_Z19should_fault_injectPKc
ota_write,_Z9ota_writeiPKvm,426d90,0x4afe88,_ZNSt3__15mutex4lockEv
ota_write,_Z9ota_writeiPKvm,426de4,0x425ed8,_Z16should_hit_cachev
ota_write,_Z9ota_writeiPKvm,426e14,0x4c8290,strlen
ota_write,_Z9ota_writeiPKvm,426e24,0x4c841c,strncmp
ota_write,_Z9ota_writeiPKvm,426e34,0x4afeb0,_ZNSt3__115recursive_mutex6unlockEv
ota_write,_Z9ota_writeiPKvm,426e44,0x4d4a10,write
ota_write,_Z9ota_writeiPKvm,426e50,0x4c8da0,__errno
ota_write,_Z9ota_writeiPKvm,426e88,0x4b05e0,UNKNOWN_0x4b05e0
ota_write,_Z9ota_writeiPKvm,426e8c,0x4c8da0,__errno
ota_write,_Z9ota_writeiPKvm,426eb0,0x4afeb0,_ZNSt3__115recursive_mutex6unlockEv
RegisterInstallFunctions,_Z24RegisterInstallFunctionsv,4069cc,0x41d528,_Z16RegisterFunctionRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEEPFP5ValuePKcP5StateRKNS_6vectorINS_10unique_ptrI4ExprNS_14default_deleteISG_EEEENS3_ISJ_EEEEE
RegisterInstallFunctions,_Z24RegisterInstallFunctionsv,4069dc,0x4917f0,UNKNOWN_0x4917f0
RegisterInstallFunctions,_Z24RegisterInstallFunctionsv,406a18,0x41d528,_Z16RegisterFunctionRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEEPFP5ValuePKcP5StateRKNS_6vectorINS_10unique_ptrI4ExprNS_14default_deleteISG_EEEENS3_ISJ_EEEEE
RegisterInstallFunctions,_Z24RegisterInstallFunctionsv,406a28,0x4917f0,UNKNOWN_0x4917f0
RegisterInstallFunctions,_Z24RegisterInstallFunctionsv,406a5c,0x41d528,_Z16RegisterFunctionRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEEPFP5ValuePKcP5StateRKNS_6vectorINS_10unique_ptrI4ExprNS_14default_deleteISG_EEEENS3_ISJ_EEEEE
RegisterInstallFunctions,_Z24RegisterInstallFunctionsv,406a6c,0x4917f0,UNKNOWN_0x4917f0
RegisterInstallFunctions,_Z24RegisterInstallFunctionsv,406aa0,0x41d528,_Z16RegisterFunctionRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEEPFP5ValuePKcP5StateRKNS_6vectorINS_10unique_ptrI4ExprNS_14default_deleteISG_EEEENS3_ISJ_EEEEE
RegisterInstallFunctions,_Z24RegisterInstallFunctionsv,406ab0,0x4917f0,UNKNOWN_0x4917f0
RegisterInstallFunctions,_Z24RegisterInstallFunctionsv,406aec,0x41d528,_Z16RegisterFunctionRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEEPFP5ValuePKcP5StateRKNS_6vectorINS_10unique_ptrI4ExprNS_14default_deleteISG_EEEENS3_ISJ_EEEEE
RegisterInstallFunctions,_Z24RegisterInstallFunctionsv,406afc,0x4917f0,UNKNOWN_0x4917f0
RegisterInstallFunctions,_Z24RegisterInstallFunctionsv,406b3c,0x41d528,_Z16RegisterFunctionRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEEPFP5ValuePKcP5StateRKNS_6vectorINS_10unique_ptrI4ExprNS_14default_deleteISG_EEEENS3_ISJ_EEEEE
RegisterInstallFunctions,_Z24RegisterInstallFunctionsv,406b4c,0x4917f0,UNKNOWN_0x4917f0
RegisterInstallFunctions,_Z24RegisterInstallFunctionsv,406b8c,0x41d528,_Z16RegisterFunctionRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEEPFP5ValuePKcP5StateRKNS_6vectorINS_10unique_ptrI4ExprNS_14default_deleteISG_EEEENS3_ISJ_EEEEE
RegisterInstallFunctions,_Z24RegisterInstallFunctionsv,406b9c,0x4917f0,UNKNOWN_0x4917f0
RegisterInstallFunctions,_Z24RegisterInstallFunctionsv,406bd0,0x41d528,_Z16RegisterFunctionRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEEPFP5ValuePKcP5StateRKNS_6vectorINS_10unique_ptrI4ExprNS_14default_deleteISG_EEEENS3_ISJ_EEEEE
RegisterInstallFunctions,_Z24RegisterInstallFunctionsv,406be0,0x4917f0,UNKNOWN_0x4917f0
