root,file,line,class,method,kind,description,excerpt
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/database/DefaultAppRecencyDao.java,344,DefaultAppRecencyDao,getContentValues,pending_intent,PendingIntent or callback dispatch,"contentValues.put(AppMetadata.Columns.ACTIVITY_NAME, app.getActivityName());"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/deck/AppDecks.java,13,,,home_control,HOME/launcher control marker,import com.amazon.firelauncher.appsgrid.db.AppMetadata;
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/deck/AppsRecencyDeck.java,23,,,home_control,HOME/launcher control marker,import com.amazon.firelauncher.ContentTypes;
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/deck/AppsRecencyDeck.java,24,,,home_control,HOME/launcher control marker,import com.amazon.firelauncher.ProducerExtras;
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/deck/AppsRecencyDeck.java,25,,,home_control,HOME/launcher control marker,import com.amazon.firelauncher.RefMarkerUtil;
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/deck/AppsRecencyDeck.java,26,,,home_control,HOME/launcher control marker,import com.amazon.firelauncher.RefWidgets;
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/deck/AppsRecencyDeck.java,27,,,home_control,HOME/launcher control marker,import com.amazon.firelauncher.RemoveActions;
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/deck/AppsRecencyDeck.java,28,,,home_control,HOME/launcher control marker,import com.amazon.firelauncher.Targets;
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/deck/AppsRecencyDeck.java,29,,,home_control,HOME/launcher control marker,import com.amazon.firelauncher.cardproducer.utils.weblab.CombineContinueWeblab;
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/deck/AppsRecencyDeck.java,30,,,home_control,HOME/launcher control marker,import com.amazon.firelauncher.sis.SisUpdateService;
